epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6195.99,1.11535,1.76829,1.33178,0.59603,0.95694,0.89622,0.64542,1.21754,4.68841,1.51889,0.000197835,0.000197835,0.000197835
43,6320.28,1.10734,1.77562,1.3266,0.58887,0.96582,0.89999,0.63196,1.21746,5.18726,1.50194,0.000194539,0.000194539,0.000194539
44,6447.37,1.15165,1.75216,1.3551,0.5343,0.98202,0.87318,0.6043,1.26625,5.887,1.54866,0.000191242,0.000191242,0.000191242
45,6572.14,1.10014,1.71329,1.32774,0.52368,1,0.89626,0.62171,1.255,4.89566,1.53437,0.000187945,0.000187945,0.000187945
46,6699.36,1.09778,1.65388,1.31776,0.59241,1,0.90381,0.62153,1.22552,4.88599,1.53219,0.000184649,0.000184649,0.000184649
47,6826.88,1.09204,1.69606,1.3174,0.54038,0.97,0.84791,0.58814,1.22351,6.32611,1.53464,0.000181352,0.000181352,0.000181352
48,6953.88,1.09766,1.63989,1.32172,0.53799,0.98218,0.88457,0.61397,1.26383,5.58418,1.55112,0.000178055,0.000178055,0.000178055
49,7080.52,1.10226,1.65739,1.31542,0.54767,0.99158,0.84434,0.56819,1.27136,6.84362,1.53135,0.000174758,0.000174758,0.000174758
50,7207.23,1.08517,1.70648,1.29595,0.57267,1,0.88482,0.58576,1.28839,4.97893,1.55973,0.000171462,0.000171462,0.000171462
51,7346.54,1.02634,1.59494,1.27654,0.54895,0.97168,0.89206,0.61107,1.28012,5.62225,1.54704,0.000168165,0.000168165,0.000168165
52,7474.65,1.09742,1.57476,1.32628,0.6105,0.96099,0.91687,0.64311,1.23222,5.0316,1.53161,0.000164868,0.000164868,0.000164868
53,7603.64,1.08002,1.59532,1.30916,0.57677,0.96038,0.91561,0.62819,1.26093,5.28606,1.55727,0.000161572,0.000161572,0.000161572
54,7760.08,1.08943,1.56095,1.31429,0.62815,0.97637,0.90794,0.60594,1.25485,4.84997,1.58669,0.000158275,0.000158275,0.000158275
55,7901.17,1.10188,1.60657,1.33621,0.6017,0.96554,0.91128,0.60535,1.28698,6.0169,1.5827,0.000154978,0.000154978,0.000154978
56,8026.75,1.08031,1.52891,1.30696,0.68889,1,0.95066,0.65012,1.29094,4.25369,1.58564,0.000151682,0.000151682,0.000151682
57,8154.06,1.09993,1.59404,1.32039,0.61282,0.95673,0.92245,0.6322,1.28967,5.70058,1.57262,0.000148385,0.000148385,0.000148385
58,8288.45,1.05394,1.4953,1.29898,0.6573,1,0.93679,0.62783,1.29124,5.36885,1.56175,0.000145088,0.000145088,0.000145088
59,8416.18,1.093,1.48427,1.33115,0.56664,0.96572,0.90019,0.62901,1.24872,6.01582,1.54557,0.000141791,0.000141791,0.000141791
60,8610.92,1.04171,1.4968,1.30327,0.64228,0.9913,0.92172,0.63783,1.24951,5.29408,1.54111,0.000138495,0.000138495,0.000138495
61,8772.14,1.04327,1.44591,1.29233,0.66538,0.97155,0.93551,0.6461,1.23196,5.29951,1.56583,0.000135198,0.000135198,0.000135198
62,8907.87,1.03651,1.4058,1.30333,0.64899,0.99309,0.9459,0.63996,1.29051,4.9346,1.55465,0.000131901,0.000131901,0.000131901
63,9053.52,1.06316,1.46066,1.30803,0.62255,0.96885,0.93148,0.61616,1.26334,6.2482,1.52404,0.000128605,0.000128605,0.000128605
64,9188.29,1.04921,1.45218,1.28873,0.63916,0.99807,0.94253,0.64473,1.24941,4.89603,1.55683,0.000125308,0.000125308,0.000125308
65,9315.85,1.11404,1.46079,1.32449,0.59951,0.98673,0.93354,0.6297,1.23049,6.26534,1.54715,0.000122011,0.000122011,0.000122011
66,9450.6,1.05649,1.43757,1.29662,0.61713,0.99109,0.93056,0.65022,1.22511,5.65454,1.53562,0.000118714,0.000118714,0.000118714
67,9583.1,1.00697,1.3692,1.2671,0.67659,0.99432,0.9534,0.65753,1.24779,4.64357,1.55017,0.000115418,0.000115418,0.000115418
68,9714.68,1.03387,1.38862,1.28576,0.66085,0.98931,0.93688,0.63211,1.25473,5.14337,1.5683,0.000112121,0.000112121,0.000112121
69,9857.42,1.04178,1.40343,1.28509,0.62241,0.99135,0.92997,0.63362,1.2618,5.74362,1.5696,0.000108824,0.000108824,0.000108824
70,9984.89,1.04346,1.34541,1.29508,0.6554,0.98054,0.9576,0.67224,1.26543,4.78647,1.58755,0.000105528,0.000105528,0.000105528
71,10112.4,1.03591,1.38253,1.28383,0.64116,0.98156,0.96451,0.66737,1.26645,5.47079,1.56999,0.000102231,0.000102231,0.000102231
72,10239.9,1.02619,1.39382,1.26054,0.61913,0.98394,0.95483,0.66161,1.24886,5.86666,1.54297,9.89343e-05,9.89343e-05,9.89343e-05
73,10365.6,1.00005,1.31934,1.27976,0.64306,0.98987,0.9576,0.66483,1.24703,5.60458,1.53919,9.56376e-05,9.56376e-05,9.56376e-05
74,10490.8,1.02121,1.36905,1.27587,0.63052,0.97713,0.95483,0.65601,1.24098,6.17262,1.53641,9.23409e-05,9.23409e-05,9.23409e-05
75,10615.8,0.99513,1.36129,1.27372,0.63894,1,0.96174,0.65989,1.254,5.35396,1.55668,8.90442e-05,8.90442e-05,8.90442e-05
76,10756.5,1.04352,1.33995,1.29639,0.62183,0.9865,0.9301,0.6352,1.25043,6.46485,1.54433,8.57475e-05,8.57475e-05,8.57475e-05
77,10884.2,0.99977,1.35611,1.28047,0.7064,1,0.95774,0.65827,1.25698,4.53873,1.57144,8.24508e-05,8.24508e-05,8.24508e-05
78,11014.3,1.0294,1.31663,1.28535,0.70144,0.99574,0.95624,0.66427,1.21743,5.04896,1.53367,7.91541e-05,7.91541e-05,7.91541e-05
79,11142.1,1.0299,1.30394,1.27393,0.66889,0.98297,0.95624,0.6622,1.24224,5.15101,1.53191,7.58574e-05,7.58574e-05,7.58574e-05
80,11270.6,1.03685,1.33536,1.28699,0.70293,0.98441,0.95774,0.67481,1.23803,4.92285,1.53379,7.25607e-05,7.25607e-05,7.25607e-05
81,11397.9,0.99275,1.26718,1.26472,0.6827,0.9847,0.96861,0.67695,1.22741,4.66324,1.53267,6.9264e-05,6.9264e-05,6.9264e-05
82,11524,0.98421,1.25629,1.25431,0.68115,0.98943,0.96861,0.67175,1.21686,4.60358,1.53028,6.59673e-05,6.59673e-05,6.59673e-05
83,11650.5,1.03372,1.33506,1.26051,0.68449,0.99588,0.9583,0.68448,1.22889,4.50152,1.5375,6.26706e-05,6.26706e-05,6.26706e-05
84,11776.9,1.0346,1.28758,1.26753,0.69226,0.98264,0.95624,0.66421,1.20251,4.74699,1.50715,5.93739e-05,5.93739e-05,5.93739e-05
85,11904.1,1.04474,1.28331,1.2809,0.69066,0.97988,0.95624,0.68377,1.19751,4.60975,1.49714,5.60772e-05,5.60772e-05,5.60772e-05
86,12029.7,1.00523,1.24945,1.27652,0.68701,0.98405,0.95624,0.682,1.20758,4.45888,1.51444,5.27805e-05,5.27805e-05,5.27805e-05
87,12161.8,0.97596,1.23701,1.24495,0.67476,0.98119,0.95624,0.68391,1.18468,5.34996,1.49706,4.94838e-05,4.94838e-05,4.94838e-05
88,12300.8,0.98312,1.26729,1.26953,0.68019,0.97917,0.95568,0.68001,1.20474,5.31581,1.49744,4.61871e-05,4.61871e-05,4.61871e-05
89,12429.8,0.99436,1.26871,1.27157,0.68961,0.98077,0.93551,0.65168,1.21324,5.32291,1.50703,4.28904e-05,4.28904e-05,4.28904e-05
90,12555.9,0.99386,1.24727,1.26105,0.69167,0.98254,0.95158,0.67928,1.22294,5.00276,1.53124,3.95937e-05,3.95937e-05,3.95937e-05
91,12681.2,0.94215,0.876,1.27362,0.68333,0.98327,0.92863,0.63734,1.24118,5.49573,1.56135,3.6297e-05,3.6297e-05,3.6297e-05
92,12806.4,0.9329,0.84601,1.24701,0.68055,0.98086,0.95508,0.66338,1.2344,5.69882,1.53408,3.30003e-05,3.30003e-05,3.30003e-05
93,12933.2,0.92425,0.83246,1.24008,0.65246,0.98094,0.93551,0.64911,1.22237,5.96893,1.52711,2.97036e-05,2.97036e-05,2.97036e-05
94,13059.6,0.89774,0.82078,1.2268,0.67209,0.98552,0.93701,0.64854,1.23423,5.4622,1.54484,2.64069e-05,2.64069e-05,2.64069e-05
95,13182.2,0.90873,0.8161,1.21886,0.66587,0.98333,0.95452,0.64822,1.21256,5.82507,1.52154,2.31102e-05,2.31102e-05,2.31102e-05
96,13305.7,0.89746,0.81106,1.23743,0.68785,0.9797,0.95452,0.65339,1.2157,5.47845,1.52318,1.98135e-05,1.98135e-05,1.98135e-05
97,13430.5,0.91957,0.79603,1.21696,0.67701,0.98358,0.95568,0.65853,1.20277,5.55705,1.52125,1.65168e-05,1.65168e-05,1.65168e-05
98,13554.9,0.90677,0.79398,1.22514,0.67954,0.98858,0.93541,0.64072,1.20357,5.59679,1.5208,1.32201e-05,1.32201e-05,1.32201e-05
99,13682.6,0.90124,0.78409,1.23362,0.67402,0.9858,0.93541,0.64924,1.1936,5.85861,1.51161,9.9234e-06,9.9234e-06,9.9234e-06
100,13808.9,0.90235,0.79121,1.21988,0.66205,0.98573,0.93803,0.65643,1.20709,5.77732,1.52883,6.6267e-06,6.6267e-06,6.6267e-06
