epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.587,1.50142,4.44791,1.58162,0.01637,0.73958,0.10777,0.05435,1.45059,4.16751,1.48261,0.000110787,0.000110787,0.000110787
2,305.271,1.31052,4.02923,1.40397,0.70266,0.16667,0.19309,0.10955,1.45855,3.93198,1.41896,0.000177873,0.000177873,0.000177873
3,485.474,1.3759,3.73587,1.45219,0.55913,0.28472,0.25702,0.15418,1.48813,3.60396,1.47163,0.000201003,0.000201003,0.000201003
4,638.997,1.31708,3.54483,1.3924,0.71627,0.25517,0.26646,0.16792,1.40438,3.63206,1.47721,0.000135198,0.000135198,0.000135198
5,790.269,1.27494,3.4648,1.38833,0.34494,0.48941,0.28669,0.1889,1.36,3.53394,1.44455,6.9264e-05,6.9264e-05,6.9264e-05
